国家,国家类型,匹配度_比值,发展_治理_差值,匹配度_状态,P1,P3,D4,D14,P4,总分,排名,匹配度_排名,发展水平_排名,治理工具_排名
中国,全面领先型,1.3471074380165289,-21.0,治理超前,60.5,81.5,48.5,99.5,79.9,70.1,1,20,7,8
美国,全面领先型,0.9670912951167727,3.1000000000000085,治理滞后,94.2,91.1,0.0,21.7,54.3,69.9,2,28,1,4
德国,全面领先型,1.4545454545454546,-26.5,治理超前,58.3,84.8,73.0,42.9,52.2,68.8,3,16,8,6
韩国,全面领先型,1.8672032193158952,-43.099999999999994,治理超前,49.7,92.8,58.5,51.0,56.5,67.8,4,8,13,3
英国,全面领先型,1.5085803432137288,-32.60000000000001,治理超前,64.1,96.7,12.5,32.6,56.8,67.6,5,14,4,2
新加坡,全面领先型,1.1493506493506493,-9.199999999999996,治理超前,61.6,70.8,43.5,74.0,67.2,65.7,6,23,6,12
法国,全面领先型,1.9285714285714288,-48.10000000000001,治理超前,51.8,99.9,57.5,27.7,39.6,65.6,7,7,12,1
加拿大,全面领先型,1.6431226765799258,-34.60000000000001,治理超前,53.8,88.4,37.0,27.3,51.5,63.5,8,10,9,5
日本,全面领先型,1.5450733752620545,-26.0,治理超前,47.7,73.7,72.0,31.1,45.7,61.4,9,12,16,10
芬兰,治理滞后型,0.710122699386503,18.900000000000006,治理滞后,65.2,46.3,82.5,13.5,44.6,60.3,10,36,3,20
荷兰,全面领先型,1.1283095723014256,-6.299999999999997,治理超前,49.1,55.4,68.0,34.5,54.8,58.9,11,24,15,15
阿联酋,全面领先型,1.2467811158798283,-11.5,治理超前,46.6,58.1,70.5,55.8,46.8,56.4,12,22,17,13
瑞典,治理滞后型,0.649923896499239,23.0,治理滞后,65.7,42.7,76.0,24.5,34.4,56.0,13,37,2,23
澳大利亚,全面领先型,1.6339285714285716,-28.400000000000006,治理超前,44.8,73.2,37.5,22.9,40.6,55.0,14,11,21,11
丹麦,治理滞后型,0.6026365348399246,21.1,治理滞后,53.1,32.0,72.5,53.5,53.5,54.8,15,39,11,32
瑞士,治理滞后型,0.5777777777777777,26.6,治理滞后,63.0,36.4,58.5,35.8,48.3,54.8,16,40,5,26
挪威,治理滞后型,0.8177777777777777,8.200000000000003,治理滞后,45.0,36.8,79.0,10.3,54.3,54.7,17,29,20,25
沙特阿拉伯,治理超前型,3.099630996309963,-56.9,治理超前,27.1,84.0,94.0,22.9,22.9,54.5,18,4,28,7
意大利,全面领先型,1.2706422018348622,-11.799999999999997,治理超前,43.6,55.4,66.0,57.2,43.7,53.8,19,21,22,15
西班牙,基础建设型,1.3524590163934427,-12.899999999999999,治理超前,36.6,49.5,66.0,44.6,45.7,51.7,20,19,23,18
马来西亚,治理滞后型,1.0799136069114472,-3.700000000000003,治理超前,46.3,50.0,66.0,72.0,39.6,51.2,21,26,18,17
印度尼西亚,基础建设型,1.9625000000000001,-23.1,治理超前,24.0,47.1,89.5,96.1,54.5,51.0,22,6,31,19
土耳其,治理超前型,4.101449275362318,-42.8,治理超前,13.8,56.6,94.0,67.6,33.8,46.7,23,1,38,14
爱尔兰,治理滞后型,0.7440347071583513,11.800000000000004,治理滞后,46.1,34.3,47.0,32.5,41.0,46.6,24,34,19,28
泰国,基础建设型,1.4349775784753362,-9.7,治理超前,22.3,32.0,80.5,96.6,52.5,45.8,25,17,33,32
葡萄牙,基础建设型,1.1267605633802817,-3.6000000000000014,治理超前,28.4,32.0,84.5,21.8,39.0,45.4,26,25,27,32
以色列,治理滞后型,0.7757009345794392,12.0,治理滞后,53.5,41.5,28.5,33.0,33.0,45.0,27,32,10,24
比利时,基础建设型,1.7671755725190839,-20.099999999999998,治理超前,26.2,46.3,61.0,21.9,36.9,45.0,28,9,29,20
智利,基础建设型,0.7687687687687689,7.699999999999996,治理滞后,33.3,25.6,93.5,56.5,35.9,44.9,29,33,25,37
俄罗斯,治理超前型,2.940239043824701,-48.699999999999996,治理超前,25.1,73.8,41.0,24.6,24.6,44.1,30,5,30,9
墨西哥,基础建设型,4.098214285714286,-34.7,治理超前,11.2,45.9,89.5,84.3,40.2,43.8,31,2,39,22
波兰,基础建设型,0.8073654390934845,6.799999999999997,治理滞后,35.3,28.5,73.0,37.3,33.2,43.1,32,30,24,36
新西兰,治理滞后型,0.7215447154471545,13.700000000000003,治理滞后,49.2,35.5,35.0,37.1,21.9,41.8,33,35,14,27
匈牙利,基础建设型,1.4222222222222223,-9.5,治理超前,22.5,32.0,88.0,53.8,29.2,41.3,34,18,32,32
印度,基础建设型,0.984984984984985,0.5,治理滞后,33.3,32.8,23.5,68.0,53.6,41.0,35,27,25,29
巴西,基础建设型,1.5399061032863848,-11.499999999999996,治理超前,21.3,32.8,83.5,52.7,30.9,40.8,36,13,34,29
秘鲁,基础建设型,0.7845303867403314,3.900000000000002,治理滞后,18.1,14.2,94.0,88.0,49.7,40.8,37,31,35,39
阿根廷,基础建设型,3.2173913043478266,-20.400000000000002,治理超前,9.2,29.6,84.5,62.4,33.8,37.2,38,3,40,35
哥伦比亚,基础建设型,1.461038961038961,-7.1,治理超前,15.4,22.5,90.5,69.0,30.9,37.1,39,15,37,38
南非,基础建设型,0.6257309941520467,6.400000000000002,治理滞后,17.1,10.7,58.0,75.4,46.8,33.9,40,38,36,40
