国家,治理模式,模式名称,D6,D7,D8,D9,D10,D11,D12,总分,P1,D3,D4,D14,P4
中国,1,软性引导型,100,100,100,0,100,83.3,87.5,70.1,60.5,55.4,48.5,99.5,79.9
美国,1,软性引导型,100,100,100,100,100,50.0,87.5,69.9,94.2,100.0,0.0,21.7,54.3
德国,1,软性引导型,100,100,100,0,100,100.0,93.5,68.8,58.3,43.6,73.0,42.9,52.2
韩国,1,软性引导型,100,100,100,100,100,50.0,99.5,67.8,49.7,43.3,58.5,51.0,56.5
英国,1,软性引导型,100,100,100,100,100,83.3,93.5,67.6,64.1,74.2,12.5,32.6,56.8
新加坡,3,软性引导型,75,100,100,100,0,33.3,87.5,65.7,61.6,74.7,43.5,74.0,67.2
法国,1,软性引导型,100,100,100,100,100,100.0,99.5,65.6,51.8,50.2,57.5,27.7,39.6
加拿大,1,软性引导型,75,100,100,100,100,50.0,93.5,63.5,53.8,56.7,37.0,27.3,51.5
日本,3,软性引导型,100,100,100,100,0,16.7,99.5,61.4,47.7,24.0,72.0,31.1,45.7
芬兰,2,混合发展型,100,100,0,0,0,66.7,57.5,60.3,65.2,65.2,82.5,13.5,44.6
荷兰,2,混合发展型,100,0,0,100,0,100.0,87.5,58.9,49.1,37.8,68.0,34.5,54.8
阿联酋,3,软性引导型,50,100,100,100,0,33.3,23.5,56.4,46.6,67.1,70.5,55.8,46.8
瑞典,2,混合发展型,75,100,0,0,0,66.7,57.5,56.0,65.7,92.4,76.0,24.5,34.4
澳大利亚,1,软性引导型,75,100,100,0,100,50.0,87.5,55.0,44.8,20.5,37.5,22.9,40.6
丹麦,2,混合发展型,100,0,0,0,0,66.7,57.5,54.8,53.1,53.1,72.5,53.5,53.5
瑞士,0,混合发展型,75,0,100,0,0,0.0,79.5,54.8,63.0,35.4,58.5,35.8,48.3
挪威,2,混合发展型,100,0,0,0,0,100.0,57.5,54.7,45.0,45.0,79.0,10.3,54.3
沙特阿拉伯,1,软性引导型,75,100,100,100,100,33.3,79.5,54.5,27.1,27.1,94.0,22.9,22.9
意大利,2,混合发展型,100,100,0,0,0,100.0,87.5,53.8,43.6,24.7,66.0,57.2,43.7
西班牙,2,混合发展型,100,100,0,0,0,66.7,79.5,51.7,36.6,20.7,66.0,44.6,45.7
马来西亚,0,混合发展型,100,100,100,0,0,0.0,50.0,51.2,46.3,46.3,66.0,72.0,39.6
印度尼西亚,0,混合发展型,100,100,100,0,0,0.0,29.5,51.0,24.0,24.0,89.5,96.1,54.5
土耳其,0,混合发展型,100,100,100,0,0,16.7,79.5,46.7,13.8,13.8,94.0,67.6,33.8
爱尔兰,2,混合发展型,100,0,0,0,0,66.7,73.5,46.6,46.1,46.1,47.0,32.5,41.0
泰国,0,混合发展型,100,0,100,0,0,16.7,7.5,45.8,22.3,22.3,80.5,96.6,52.5
葡萄牙,2,混合发展型,100,0,0,0,0,66.7,57.5,45.4,28.4,28.4,84.5,21.8,39.0
以色列,0,混合发展型,100,0,100,0,0,33.3,57.5,45.0,53.5,69.5,28.5,33.0,33.0
比利时,2,混合发展型,100,100,0,0,0,66.7,57.5,45.0,26.2,26.2,61.0,21.9,36.9
智利,2,混合发展型,100,0,0,0,0,50.0,29.5,44.9,33.3,33.3,93.5,56.5,35.9
俄罗斯,1,软性引导型,100,100,100,0,100,66.7,50.0,44.1,25.1,25.1,41.0,24.6,24.6
墨西哥,0,混合发展型,75,100,100,0,0,16.7,29.5,43.8,11.2,11.2,89.5,84.3,40.2
波兰,2,混合发展型,75,0,0,0,0,66.7,57.5,43.1,35.3,35.3,73.0,37.3,33.2
新西兰,0,混合发展型,75,0,100,0,0,0.0,73.5,41.8,49.2,49.2,35.0,37.1,21.9
匈牙利,2,混合发展型,100,0,0,0,0,66.7,57.5,41.3,22.5,22.5,88.0,53.8,29.2
印度,3,软性引导型,50,0,0,100,0,0.0,79.5,41.0,33.3,40.8,23.5,68.0,53.6
巴西,2,混合发展型,100,0,0,0,0,50.0,79.5,40.8,21.3,16.2,83.5,52.7,30.9
秘鲁,0,混合发展型,75,0,0,0,0,16.7,7.5,40.8,18.1,18.1,94.0,88.0,49.7
阿根廷,0,混合发展型,100,0,100,0,0,0.0,7.5,37.2,9.2,9.2,84.5,62.4,33.8
哥伦比亚,2,混合发展型,100,0,0,0,0,50.0,7.5,37.1,15.4,15.4,90.5,69.0,30.9
南非,0,混合发展型,75,0,0,0,0,0.0,0.0,33.9,17.1,17.1,58.0,75.4,46.8
